[Section 2]

[Enemy 1]
time = 0
name = "enemy1"
speed = 0.6
radius = 5
p1.pos = -0.1,-0.1
p2.pos = -0.1,0.1
p3.pos = 0.4,0.1
p4.pos = 0.4,0.3
p5.pos = -0.1,0.3
p6.pos = -0.1,0.5
p7.pos = 0.4,0.5
p8.pos = 0.4,0.7
p9.pos = -0.1,0.7
p10.pos = -0.1,0.9
p11.pos = 1.4,0.9
s1.time = 60
s1.name = "enemy_mid_random"
s1.frequency = 120, 180
power = 5
life = 25
death.shot = "enemy_slim_random"

[Enemy 1]
time = 0
name = "enemy2"
speed = 0.6
radius = 5
p1.pos = 0.0,-0.1
p2.pos = 0.0,0.1
p3.pos = 0.5,0.1
p4.pos = 0.5,0.3
p5.pos = 0.0,0.3
p6.pos = 0.0,0.5
p7.pos = 0.5,0.5
p8.pos = 0.5,0.7
p9.pos = 0.0,0.7
p10.pos = 0.0,0.9
p11.pos = 1.5,0.9
s1.time = 60
s1.name = "enemy_mid_random"
s1.frequency = 120, 180
score = 5
life = 25
death.shot = "enemy_slim_random"

[Enemy 1]
time = 0
name = "enemy1"
speed = 0.6
radius = 5
p1.pos = 0.1,-0.1
p2.pos = 0.1,0.1
p3.pos = 0.6,0.1
p4.pos = 0.6,0.3
p5.pos = 0.1,0.3
p6.pos = 0.1,0.5
p7.pos = 0.6,0.5
p8.pos = 0.6,0.7
p9.pos = 0.1,0.7
p10.pos = 0.1,0.9
p11.pos = 1.6,0.9
s1.time = 60
s1.name = "enemy_mid_random"
s1.frequency = 120, 180
power = 5
life = 25
death.shot = "enemy_slim_random"

[Enemy 1]
time = 0
name = "enemy2"
speed = 0.6
radius = 5
p1.pos = 0.2,-0.1
p2.pos = 0.2,0.1
p3.pos = 0.7,0.1
p4.pos = 0.7,0.3
p5.pos = 0.2,0.3
p6.pos = 0.2,0.5
p7.pos = 0.7,0.5
p8.pos = 0.7,0.7
p9.pos = 0.2,0.7
p10.pos = 0.2,0.9
p11.pos = 1.7,0.9
s1.time = 60
s1.name = "enemy_mid_random"
s1.frequency = 120, 180
score = 5
life = 25
death.shot = "enemy_slim_random"

[Enemy 1]
time = 0
name = "enemy1"
speed = 0.6
radius = 5
p1.pos = 0.3,-0.1
p2.pos = 0.3,0.1
p3.pos = 0.8,0.1
p4.pos = 0.8,0.3
p5.pos = 0.3,0.3
p6.pos = 0.3,0.5
p7.pos = 0.8,0.5
p8.pos = 0.8,0.7
p9.pos = 0.3,0.7
p10.pos = 0.3,0.9
p11.pos = 1.8,0.9
s1.time = 60
s1.name = "enemy_mid_random"
s1.frequency = 120, 180
power = 5
life = 25
death.shot = "enemy_slim_random"

[Enemy 1]
time = 0
name = "enemy2"
speed = 0.6
radius = 5
p1.pos = 0.4,-0.1
p2.pos = 0.4,0.1
p3.pos = 0.9,0.1
p4.pos = 0.9,0.3
p5.pos = 0.4,0.3
p6.pos = 0.4,0.5
p7.pos = 0.9,0.5
p8.pos = 0.9,0.7
p9.pos = 0.4,0.7
p10.pos = 0.4,0.9
p11.pos = 1.9,0.9
s1.time = 60
s1.name = "enemy_mid_random"
s1.frequency = 120, 180
score = 5
life = 25
death.shot = "enemy_slim_random"

[Enemy 1]
time = 0
name = "enemy1"
speed = 0.6
radius = 5
p1.pos = 0.5,-0.1
p2.pos = 0.5,0.1
p3.pos = 1.0,0.1
p4.pos = 1.0,0.3
p5.pos = 0.5,0.3
p6.pos = 0.5,0.5
p7.pos = 1.0,0.5
p8.pos = 1.0,0.7
p9.pos = 0.5,0.7
p10.pos = 0.5,0.9
p11.pos = 2.0,0.9
s1.time = 60
s1.name = "enemy_mid_random"
s1.frequency = 120, 180
power = 5
life = 25
death.shot = "enemy_slim_random"

[Enemy 1]
time = 0
name = "enemy2"
speed = 0.6
radius = 5
p1.pos = 0.6,-0.1
p2.pos = 0.6,0.1
p3.pos = 1.1,0.1
p4.pos = 1.1,0.3
p5.pos = 0.6,0.3
p6.pos = 0.6,0.5
p7.pos = 1.1,0.5
p8.pos = 1.1,0.7
p9.pos = 0.6,0.7
p10.pos = 0.6,0.9
p11.pos = 2.1,0.9
s1.time = 60
s1.name = "enemy_mid_random"
s1.frequency = 120, 180
score = 5
life = 25
death.shot = "enemy_slim_random"

;-------------------------------------------------------

[Enemy 1]
time = 0
name = "enemy1"
speed = 0.6
radius = 5
p1.pos = -0.1,-0.15
p2.pos = -0.1,0.05
p3.pos = 0.4,0.05
p4.pos = 0.4,0.25
p5.pos = -0.1,0.25
p6.pos = -0.1,0.45
p7.pos = 0.4,0.45
p8.pos = 0.4,0.65
p9.pos = -0.1,0.65
p10.pos = -0.1,0.85
p11.pos = 1.4,0.85
s1.time = 60
s1.name = "enemy_mid_random"
s1.frequency = 120, 180
power = 5
life = 25
death.shot = "enemy_slim_random"

[Enemy 1]
time = 0
name = "enemy2"
speed = 0.6
radius = 5
p1.pos = 0.0,-0.15
p2.pos = 0.0,0.05
p3.pos = 0.5,0.05
p4.pos = 0.5,0.25
