[Section two lines]

[Enemy 1]
time = 10
name = "enemy1"
speed = 0.2
radius = 5
p1.pos = 0.1,-0.1
p2.pos = 0.1,0.3
p2.duration = 120
p3.pos = 0.1,-0.1
s1.time = 60
s1.name = "enemy_laser_straight"
s1.frequency = 38
s2.time = 999
power = 1
life = 8

[Enemy 1]
time = 10
name = "enemy1"
speed = 0.2
radius = 5
p1.pos = 0.2,-0.1
p2.pos = 0.2,0.3
p2.duration = 120
p3.pos = 0.2,-0.1
s1.time = 60
s1.name = "enemy_laser_straight"
s1.frequency = 38
s2.time = 999
power = 1
life = 8

[Enemy 1]
time = 10
name = "enemy1"
speed = 0.2
radius = 5
p1.pos = 0.4,-0.1
p2.pos = 0.4,0.3
p2.duration = 120
p3.pos = 0.4,-0.1
s1.time = 60
s1.name = "enemy_laser_straight"
s1.frequency = 38
s2.time = 999
power = 1
life = 8

[Enemy 1]
time = 0
name = "enemy2"
speed = 0.2
radius = 5
p1.pos = 0.6,-0.1
p2.pos = 0.6,0.3
p2.duration = 120
p3.pos = 0.6,-0.1
s1.time = 60
s1.name = "enemy_laser_straight"
s1.frequency = 38
s2.time = 999
score = 1
life = 8

[Enemy 1]
time = 0
name = "enemy1"
speed = 0.2
radius = 5
p1.pos = 0.8,-0.1
p2.pos = 0.8,0.3
p2.duration = 120
p3.pos = 0.8,-0.1
s1.time = 60
s1.name = "enemy_laser_straight"
s1.frequency = 38
s2.time = 999
power = 1
life = 8

[Enemy 1]
time = 0
name = "enemy2"
speed = 0.2
radius = 5
p1.pos = 0.55,-0.1
p2.pos = 0.55,0.3
p2.duration = 120
p3.pos = 0.3,-0.1
s1.time = 60
s1.name = "enemy_laser_straight"
s1.frequency = 38
s2.time = 999
score = 1
life = 8

[Enemy 1]
time = 0
name = "enemy1"
speed = 0.2
radius = 5
p1.pos = 0.7,-0.1
p2.pos = 0.7,0.3
p2.duration = 120
p3.pos = 1.8,-0.1
s1.time = 60
s1.name = "enemy_laser_straight"
s1.frequency = 38
s2.time = 999
power = 1
life = 8

[Enemy 1]
time = 0
name = "enemy2"
speed = 0.2
radius = 5
p1.pos = 0.3,-0.1
p2.pos = 0.3,0.3
p2.duration = 120
p3.pos = -0.3,-0.1
s1.time = 60
s1.name = "enemy_laser_straight"
s1.frequency = 38
s2.time = 999
score = 1
life = 8

[Enemy 1]
time = 0
name = "enemy1"
speed = 0.2
radius = 5
p1.pos = 0.50,-0.1
p2.pos = 0.50,0.3
p2.duration = 120
p3.pos = 0.6,-0.1
s1.time = 60
s1.name = "enemy_laser_straight"
s1.frequency = 38
s2.time = 999
power = 1
life = 8

[Enemy 1]
time = 0
name = "enemy1"
speed = 0.2
radius = 5
p1.pos = 0.9,-0.1
p2.pos = 0.9,0.3
p2.duration = 120
p3.pos = 0.9,-0.1
s1.time = 60
s1.name = "enemy_laser_straight"
s1.frequency = 38
s2.time = 999
power = 1
life = 8

[Enemy 1]
time = 0
name = "enemyBig"
speed = 0.2
radius = 5
p1.pos = 0.5,-0.1
p2.pos = 0.5,0.1
p2.duration = 120
p3.pos = 0.5,0.1
p3.duration = 120
p4.pos = 0.5,0.1
p4.duration = 120
p5.pos = 0.5,-0.1
s1.time = 120
s1.name = "enemy_slim_random"
s1.frequency = 1
s2.time = 9999
power = 1
life = 8

[Enemy 1]
time = 0
name = "enemyBig"
speed = 0.2
radius = 5
p1.pos = 0.2,-0.1
p2.pos = 0.2,0.1
p2.duration = 120
p3.pos = 0.2,0.1
p3.duration = 120
p4.pos = 0.2,0.1
p4.duration = 120
p5.pos = 0.2,-0.1
s1.time = 120
s1.name = "enemy_slim_random"
s1.frequency = 1
s2.time = 9999
power = 1
life = 8

[Enemy 1]
time = 0
name = "enemyBig"
speed = 0.2
radius = 5
p1.pos = 0.3,-0.1
p2.pos = 0.3,0.1
p2.duration = 120
p3.pos = 0.3,0.1
p3.duration = 120
p4.pos = 0.3,0.1
p4.duration = 120
p5.pos = 0.3,-0.1
s1.time = 120
s1.name = "enemy_slim_random"
s1.frequency = 1
s2.time = 9999
power = 1
life = 8

[Enemy 1]
time = 0
name = "enemyBig"
speed = 0.2
radius = 5
p1.pos = 0.7,-0.1
p2.pos = 0.7,0.1
p2.duration = 120
p3.pos = 0.7,0.1
p3.duration = 120
p4.pos = 0.7,0.1
p4.duration = 120
p5.pos = 0.7,-0.1
s1.time = 120
s1.name = "enemy_slim_random"
s1.frequency = 1
s2.time = 9999
power = 1
life = 8


[Enemy 1]
time = 0
name = "enemyBig"
speed = 0.2
radius = 5
p1.pos = 0.8,-0.1
p2.pos = 0.8,0.1
p2.duration = 120
p3.pos = 0.8,0.1
p3.duration = 120
p4.pos = 0.8,0.1
p4.duration = 120
p5.pos = 0.8,-0.1
s1.time = 120
s1.name = "enemy_slim_random"
s1.frequency = 1
s2.time = 9999
power = 1
life = 8
