
[Section two lines]


[Enemy 1]
time = 0
name = "enemyBig"
speed = 0.2
radius = 5
p1.pos = 0.5,-0.1
p2.pos = 0.5,0.1
p2.duration = 120
p3.pos = 0.5,-0.1
s1.time = 0
s1.name = "enemy_slim_random"
s1.frequency = 2
s2.time = 9999
power = 10
life = 30

[Enemy 1]
time = 0
name = "enemyBig"
speed = 0.2
radius = 5
p1.pos = 0.1,-0.1
p2.pos = 0.1,0.1
p2.duration = 120
p3.pos = 0.1,-0.1
s1.time = 0
s1.name = "enemy_slim_random"
s1.frequency = 2
s2.time = 9999
power = 10
life = 30

[Enemy 1]
time = 0
name = "enemyBig"
speed = 0.2
radius = 5
p1.pos = 0.9,-0.1
p2.pos = 0.9,0.1
p2.duration = 120
p3.pos = 0.9,-0.1
s1.time = 0
s1.name = "enemy_slim_random"
s1.frequency = 2
s2.time = 9999
power = 10
life = 30

[Enemy 1]
time = 10
name = "enemy1"
speed = 0.2
radius = 5
p1.pos = -0.1,0.1
p2.pos = 0.5,0.15
p3.pos = 1.7,0.2
s1.time = 60
s1.name = "enemy_laser_straight"
s1.frequency = 1,200
s2.time = 9999
power = 10
life = 30

[Enemy 1]
time = 10
name = "enemy2"
speed = 0.2
radius = 5
p1.pos = 1.1,0.1
p2.pos = 0.5,0.15
p3.pos = -0.7,0.2
s1.time = 60
s1.name = "enemy_laser_straight"
s1.frequency = 1,200
s2.time = 9999
score = 10
life = 30

[Enemy 1]
time = 10
name = "enemy2"
speed = 0.2
radius = 5
p1.pos = -0.1,0.1
p2.pos = 0.5,0.15
p3.pos = 1.7,0.2
s1.time = 60
s1.name = "enemy_laser_straight"
s1.frequency = 1,200
s2.time = 9999
score = 10
life = 30

[Enemy 1]
time = 10
name = "enemy1"
speed = 0.2
radius = 5
p1.pos = 1.1,0.1
p2.pos = 0.5,0.15
p3.pos = -0.7,0.2
s1.time = 60
s1.name = "enemy_laser_straight"
s1.frequency = 1,200
s2.time = 9999
power = 10
life = 30

[Enemy 1]
time = 10
name = "enemy1"
speed = 0.2
radius = 5
p1.pos = -0.1,0.1
p2.pos = 0.5,0.15
p3.pos = 1.7,0.2
s1.time = 60
s1.name = "enemy_laser_straight"
s1.frequency = 1,200
s2.time = 9999
power = 10
life = 30

[Enemy 1]
time = 10
name = "enemy2"
speed = 0.2
radius = 5
p1.pos = 1.1,0.1
p2.pos = 0.5,0.15
p3.pos = -0.7,0.2
s1.time = 60
s1.name = "enemy_laser_straight"
s1.frequency = 1,200
s2.time = 9999
score = 10
life = 30

[Enemy 1]
time = 10
name = "enemy2"
speed = 0.2
radius = 5
p1.pos = -0.1,0.1
p2.pos = 0.5,0.15
p3.pos = 1.7,0.2
s1.time = 60
s1.name = "enemy_laser_straight"
s1.frequency = 1,200
s2.time = 9999
score = 10
life = 30

[Enemy 1]
time = 10
name = "enemy1"
speed = 0.2
radius = 5
p1.pos = 1.1,0.1
p2.pos = 0.5,0.15
p3.pos = -0.7,0.2
s1.time = 60
s1.name = "enemy_laser_straight"
s1.frequency = 1,200
s2.time = 9999
power = 10
life = 30

[Enemy 1]
time = 10
name = "enemy1"
speed = 0.2
radius = 5
