
[Section two lines]

[Enemy 1]
time = 20
name = "enemy1"
speed = 0.2
radius = 5
p1.pos = 0.8,-0.1
p2.pos = 0.5,1.5
p2.duration = 120
p3.pos = 0.5,3.0
s1.time = 10
s1.name = "enemy_slim_lower_half_slow"
s1.frequency = 1,15
s2.time = 9999
power = 10
life = 30

[Enemy 1]
time = 20
name = "enemy1"
speed = 0.2
radius = 5
p1.pos = 0.4,-0.1
p2.pos = 0.1,1.5
p2.duration = 120
p3.pos = 0.5,3.0
s1.time = 10
s1.name = "enemy_slim_lower_half_slow"
s1.frequency = 1,15
s2.time = 9999
power = 10
life = 30


[Enemy 1]
time = 20
name = "enemy1"
speed = 0.2
radius = 5
p1.pos = 0.2,-0.1
p2.pos = 0.5,1.5
p2.duration = 120
p3.pos = 0.8,3.0
s1.time = 10
s1.name = "enemy_slim_lower_half_slow"
s1.frequency = 1,15
s2.time = 9999
power = 10
life = 30


[Enemy 1]
time = 20
name = "enemy1"
speed = 0.2
radius = 5
p1.pos = 0.7,-0.1
p2.pos = 0.1,1.5
p2.duration = 120
p3.pos = 0.5,3.0
s1.time = 10
s1.name = "enemy_slim_lower_half_slow"
s1.frequency = 1,15
s2.time = 9999
power = 10
life = 30


[Enemy 1]
time = 20
name = "enemy1"
speed = 0.2
radius = 5
p1.pos = 0.5,-0.1
p2.pos = 0.9,1.5
p2.duration = 120
p3.pos = 0.5,3.0
s1.time = 10
s1.name = "enemy_slim_lower_half_slow"
s1.frequency = 1,15
s2.time = 9999
power = 10
life = 30


[Enemy 1]
time = 20
name = "enemy1"
speed = 0.2
radius = 5
p1.pos = 0.6,-0.1
p2.pos = 0.3,1.5
p2.duration = 120
p3.pos = 0.5,3.0
s1.time = 10
s1.name = "enemy_slim_lower_half_slow"
s1.frequency = 1,15
s2.time = 9999
power = 10
life = 30


[Enemy 1]
time = 20
name = "enemy1"
speed = 0.2
radius = 5
p1.pos = 0.1,-0.1
p2.pos = 0.1,1.5
p2.duration = 120
p3.pos = 0.5,3.0
s1.time = 10
s1.name = "enemy_slim_lower_half_slow"
s1.frequency = 1,15
s2.time = 9999
power = 10
life = 30


[Enemy 1]
time = 20
name = "enemy1"
speed = 0.2
radius = 5
p1.pos = 0.3,-0.1
p2.pos = 0.75,1.5
p2.duration = 120
p3.pos = 0.5,3.0
s1.time = 10
s1.name = "enemy_slim_lower_half_slow"
s1.frequency = 1,15
s2.time = 9999
power = 10
life = 30


[Enemy 1]
time = 20
name = "enemy1"
speed = 0.2
radius = 5
p1.pos = 0.4,-0.1
p2.pos = 0.1,1.5
p2.duration = 120
p3.pos = 0.5,3.0
s1.time = 10
s1.name = "enemy_slim_lower_half_slow"
s1.frequency = 1,15
s2.time = 9999
power = 10
life = 30


[Enemy 1]
time = 20
name = "enemy1"
speed = 0.2
radius = 5
p1.pos = 0.4,-0.1
